question,answer
Jaké je těžiště výuky na OU u magisterských a doktorských studijních programů?,"Těžiště výuky na OU spočívá v samostatném studiu, které má zejména u studujících v magisterských a doktorských studijních programech vyústit v samostatnou tvůrčí práci."
Jaká je povinnost studujících se účastnit výuky na OU?,"Povinnost studujících účastnit se jednotlivých způsobů výuky vyplývá z požadavků pro absolvování daného předmětu, nebo vyplývá z opatření děkana."
Co musí garant předmětu zveřejnit před zahájením zápisu předmětů?,"Garant předmětu nejpozději před zahájením zápisu předmětů, který je stanoven harmonogramem akademického roku univerzity, zveřejní nebo zpřesní popis předmětu v elektronickém informačním systému OU."
Jaká je role garanta studijního programu?,"Garant zejména koordinuje obsahovou přípravu studia, dohlíží na kvalitu jeho uskutečňování, vyhodnocuje studium a rozvíjí jej."
Kdo jmenuje a odvolává garanta studijního programu na OU?,"Děkan jmenuje a odvolává garanta studijního programu, a to jak pro studijní programy, tak pro programy celoživotního vzdělávání."
Kdo může být garantem státní rigorózní zkoušky?,"Garantem státní rigorózní zkoušky je garant navazujícího magisterského studijního programu, v jehož rámci bylo uděleno právo konat rigorózní řízení."
Jaké požadavky musí splňovat garant studijního programu?,"Garant studijního programu v rámci akreditovaných studijních programů musí splňovat požadavky v souladu s § 44 odst. 6 a 7 zákona."
Co stanovují Pravidla systému kvality na OU?,"Proces jmenování a odvolání garanta studijního programu a členů programové rady, jejich působnost, pravomoci a odpovědnost stanovují Pravidla systému zajišťování kvality vzdělávací, tvůrčí a s nimi souvisejících činností a vnitřního hodnocení kvality vzdělávací, tvůrčí a s nimi souvisejících činností, která jsou vnitřním předpisem OU."
Jaké opatření může být učiněno pro studenta který se z vážných důvodů nemohl zúčastnit povinné výuky?,"Studujícímu, který se z vážných důvodů nemohl povinné výuky zúčastnit, může garant předmětu určit náhradní způsob splnění studijních povinností."
Co znamená akreditace studijního programu na OU a kdo ji uděluje?,"Studijní program podléhá akreditaci, kterou uděluje Národní akreditační úřad pro vysoké školství podle části deváté zákona. Za akreditovaný studijní program se považuje i studijní program uskutečňovaný v rámci oblasti nebo oblastí vzdělávání, pro které má OU institucionální akreditaci."
Jaké oprávnění může získat magisterský studijní program v rámci akreditace?,"V rámci akreditace magisterského studijního programu se rozhoduje o oprávnění konat státní rigorózní zkoušku a přiznávat akademické tituly podle § 46 odst. 5 zákona."
Jakým pravidlům podléhá proces vzniku změn a schvalování studijních programů na OU?,"Proces vzniku, změn a schvalování studijních programů se řídí Pravidly systému kvality."
Kdo odpovídá za poskytování a uskutečňování programu celoživotního vzdělávání na OU?,"Za poskytování programu celoživotního vzdělávání odpovídá děkan, zatímco za jeho uskutečňování a za zabezpečení jeho odborné úrovně odpovídá garant programu."
Jaká je role Studijní komise na OU?,"Studijní komise je vrcholný odborný a poradní orgán prorektora pro studium a celoživotní vzdělávání."
Kdo jsou stálými členy Studijní komise na OU?,"Stálými členy Studijní komise jsou proděkani pro studium a vedoucí studijních oddělení jednotlivých fakult a také zástupce Centra informačních technologií OU."
Jakou roli hraje pedagogický poradce na katedře OU?,"Pedagogický poradce informuje o struktuře příslušného studia, poskytuje konzultace při vytváření osobních studijních plánů, se podílí na zabezpečování zápisů předmětů, upozorňuje na problémy ve výuce, řeší otázky prevence studijní neúspěšnosti a spolupracuje se studijním oddělením fakulty."
Kde jsou evidovány studijní výsledky a další údaje týkající se studia na OU?,"Studijní výsledky, předměty a jejich charakteristiky, studijní plány, jakož i další údaje týkající se studia jsou evidovány v elektronickém informačním systému OU."
Jaký systém slouží jako elektronický informační systém na OU?,"Elektronickým informačním systémem OU je IS/STAG a elektronické adresy studujících jim přidělené v systému pošty OU."
Co slouží jako uživatelské rozhraní pro studující na OU?,"Uživatelským rozhraním pro studující je Portál OU."
Jakou funkci plní IS/STAG na OU?,"IS/STAG je zároveň matrikou studentů OU podle § 88 zákona."
Jaký údaj je přidělen studujícímu po registraci do elektronického informačního systému na OU?,"Po registraci do elektronického informačního systému je studujícímu přiděleno pro dané studium jedinečné osobní studijní číslo, které se v průběhu studia nemění."
Co představuje výkaz o studiu na OU?,"Výkazem o studiu na OU je výpis údajů uvedených v odstavci 1 úředně potvrzený OU nebo její fakultou."
V jakém jazyce je realizována administrativní činnost pro studijní programy akreditované v českém jazyce na OU?,"Pokud je studijní program akreditován v českém jazyce, je administrativní činnost spojená s tímto programem realizována v českém jazyce."
V jakém jazyce mohou studující jednat a písemnosti předkládat podle odstavců o českém jazyce?,"Studující mohou jednat a písemnosti předkládat podle odstavců o českém jazyce i v jazyce slovenském."
Jaké jazykové požadavky platí pro administrativní činnost spojenou s akreditovaným studijním programem v cizím jazyce na OU?,"Pokud je studijní program akreditován v cizím jazyce, je administrativní činnost spojená s tímto programem realizována také v tomto cizím jazyce."
Kdy jsou standardní studijní plány zveřejněny v elektronickém informačním systému OU?,"Standardní studijní plány jsou zveřejněny v elektronickém informačním systému nejpozději před zahájením zápisu předmětů na zimní semestr podle harmonogramu akademického roku univerzity."
Jakým způsobem se získává vysokoškolské vzdělání na Ostravské univerzitě?,"Vysokoškolské vzdělání se na OU získává studiem v akreditovaných studijních programech podle studijního plánu stanovenými formami studia."
Jaké typy studijních programů jsou realizovány na Ostravské univerzitě?,"Na OU se uskutečňují tyto typy studijních programů: a) bakalářský studijní program; b) magisterský studijní program: i. magisterský studijní program nenavazující na bakalářský studijní program, ii. magisterský studijní program navazující na bakalářský studijní program; c) doktorský studijní program."
Jaké formy studia jsou k dispozici pro studenty na Ostravské univerzitě?,"Studium na OU se uskutečňuje formou: a) prezenční, b) distanční, c) kombinovanou, tj. kombinací forem studia uvedených v písmenech a) a b)."
Jakými profily mohou být bakalářské a magisterské studijní programy na Ostravské univerzitě?,"Profil bakalářského a magisterského studijního programu může být: a) akademický, b) profesní."
Do jakých oblastí vzdělávání náleží každý studijní program na Ostravské univerzitě?,"Každý studijní program na OU náleží do jedné nebo více oblastí vzdělávání (Příloha č. 3 k zákonu)."
Jak jsou zveřejňovány informace o akreditovaných studijních programech na Ostravské univerzitě?,"Seznam akreditovaných studijních programů OU, včetně jejich typu a profilu, formy výuky a standardní doby studia a jejich dostupnosti pro osoby se zdravotním postižením, forem studia a příslušné oblasti nebo oblastí vzdělávání, v rámci kterých je studijní program uskutečňován, se zveřejňuje ve veřejné části internetových stránek OU."
"Jaké formy studia jsou dostupné ve studijním programu?","Studium ve studijním programu se realizuje jako: a. studium bez specializace, b. studium se specializací, c. studium, kterým student získá v rámci studia ve studijním programu, do kterého je zapsán, i ucelené znalosti a dovednosti obsahově odpovídající jinému studijnímu programu, d. studijní program zaměřený na vzdělávání a přípravu k profesi učitele."
"Co je studium se specializací?","Studium se specializací je takovou podobou studia, která umožňuje, aby se student kromě základu studijního programu zaměřil i na specifickou část studia, která vede k získání ucelených znalostí a dovedností."
"Co je stanoveno pro každé studium ve studijním programu?","Pro každé studium ve studijním programu je stanoven samostatný standardní studijní plán."
"Co je studium podle čl. 12 odst. 1 písm. c)?","Studium podle čl. 12 odst. 1 písm. c) je takovou podobou studia ve studijním programu, která umožňuje, aby si student zvolil více standardních studijních plánů příslušné kombinace."
"Co určuje standardní studijní plán?","Standardní studijní plán určuje časovou a obsahovou posloupnost předmětů studijního programu, způsob a rozsah výuky předmětů a formu kontroly studijních výsledků."
"Jaké předpisy je nutné dodržet při tvorbě standardního studijního plánu?","Při tvorbě standardního studijního plánu musí být dodrženy zvláštní právní předpisy, pokud jsou pro daný studijní program stanoveny."
"Jaké statusy může mít předmět zařazený do standardního studijního plánu?","Předmět zařazený do standardního studijního plánu může mít tento status: a) povinný předmět (označován jako A), b) povinně volitelný předmět (označován jako B), c) výběrový předmět (označován jako C)."
"Co je povinný předmět (označován jako A)?","Povinný předmět (označován jako A) je předmět, jehož splnění je podmínkou absolvování daného studia."
"Co je povinně volitelný předmět (označován jako B)?","Povinně volitelný předmět (označován jako B) je předmět, u kterého standardní studijní plán určuje minimální počet kreditů, který je nutno získat za B předměty."
"Co je výběrový předmět (označován jako C)?","Výběrový předmět (označován jako C) je doporučený předmět, jehož volbou a absolvováním student může doplnit získaný počet kreditů z povinných a povinně volitelných předmětů na počet požadovaný a potřebný k absolvování studia."
"Jaký je účel sestavení standardního studijního plánu?","Standardní studijní plán je sestaven tak, aby student podle něj získal počet kreditů odpovídající typu studia."
"Jaké kreditní počty odpovídají jednotlivým typům studia?","Jednotlivým typům studia odpovídají kreditní počty podle této tabulky: Typ studia Standardní doba studia Celkový počet kreditů 1. Bakalářský 3 180 2. Bakalářský 4 240 3. Navazující magisterský 2 120 4. Magisterský 5 300 5. Magisterský 6 360 6. Doktorský 3 180 7. Doktorský 4 240."
"Jaké předměty obsahuje standardní studijní plán u prezenční formy studia?","Standardní studijní plán se u prezenční formy studia skládá vždy z povinných a zpravidla z povinně volitelných předmětů a může být doplněn výběrovými předměty."
"Jaké předměty obsahuje standardní studijní plán u kombinované a distanční formy studia?","Standardní studijní plán u kombinované a distanční formy studia se může skládat jen z povinných předmětů."
"Jaká je součást každého standardního studijního plánu?","Součástí každého standardního studijního plánu je státní zkouška, která se může členit na části."
"Co je součástí standardního studijního plánu u studijních programů s obhajobou závěrečné práce?","Součástí standardního studijního plánu jsou kreditně ohodnocené předměty, semináře k bakalářské, diplomové nebo disertační práci, pokud se příslušný studijní program ukončuje také obhajobou příslušné závěrečné práce."
"Jaký plán si vytváří každý student?","Každý student si vytváří svůj osobní studijní plán, který vychází z podmínek daných standardním studijním plánem a tímto řádem."
"Co umožňuje opatření děkana studentovi během studia?","Stanoví-li tak opatření děkana, může student v průběhu studia požádat o změnu studijního plánu v rámci studijního programu, v němž je zapsán ke studiu."
"Jaké podmínky musí splňovat žádost o změnu studijního plánu?","Podmínky pro provedení změny studijního plánu týkající se zejména znalostí, studijních výsledků studenta nebo slučitelnosti studijních plánů stanoví opatření děkana fakulty uskutečňující studijní program, v němž je student zapsán ke studiu, včetně lhůty pro předkládání žádostí o změnu studijního plánu."
"Kdy nelze žádosti o změnu studijního plánu vyhovět?","Žádosti o změnu studijního plánu nelze vyhovět, jestliže student v době posuzování žádosti nesplňuje podmínky pro vznik práva na zápis do následujícího akademického roku."
"Jak je nutné postupovat při změně studijního plánu u programů zabezpečovaných společně více fakultami?","V případě studijních programů zabezpečovaných společně více fakultami je dle odstavce 12 zapotřebí stanovit možnost změny studijních plánů studentů opatřeními děkanů všech dotčených fakult. Odstavce 13 až 14 se pro programy zabezpečovanými společně více fakultami použijí obdobně."
"Jaká je standardní doba studia pro každý typ studijního programu?","Pro každý typ studijního programu je stanovena standardní doba studia, určující počet akademických roků potřebný pro splnění standardního studijního plánu příslušného studijního programu, a maximální doba studia."
"Kde je určena standardní doba studia a kde je zveřejněna?","Standardní doba studia je určena při akreditaci studijního programu a je zveřejněna v seznamu akreditovaných studijních programů OU ve veřejné části internetových stránek OU."
"Jaká je maximální doba studia u bakalářských a magisterských studijních programů?","Maximální doba studia u bakalářských a magisterských studijních programů se rovná standardní době studia zvětšené o dva roky."
"Jaká je maximální doba studia u doktorských studijních programů?","Maximální doba studia u doktorských studijních programů je 6 let."
"Započítává se do maximální doby studia doba přerušení studia?","Ne, do maximální doby studia se nezapočítává doba přerušení studia."
"Co může děkan zkrátit při rozhodování o uznávání předmětů?","Děkan může při rozhodování o uznávání předmětů podle čl. 22 zkrátit maximální dobu studia oproti době stanovené v odstavci 3."
"Kde jsou stanoveny podmínky přijímání ke studiu a průběh přijímacího řízení?","Podmínky přijímání ke studiu a průběh přijímacího řízení stanovuje § 48 až § 51 zákona a část šestá Statutu OU."
"Kde jsou určeny podmínky pro přijímání a studium cizinců?","Podmínky pro přijímání a studium cizinců určuje část šestá Statutu OU."
"Kdy vzniká uchazeči právo na zápis do studia?","Sdělením rozhodnutí o přijetí ke studiu vzniká uchazeči právo na zápis do studia."
"Kde se koná zápis do studia?","Zápis do studia se koná na fakultě, na níž se uskutečňuje studium v příslušném studijním programu, v termínu, který stanoví děkan a který je uchazeči oznámen současně s rozhodnutím o přijetí nebo se sdělením o úspěšně probíhajícím přijímacím řízení."
"Čím se stává uchazeč zápisem do studia?","Zápisem do studia se uchazeč stává studentem příslušné fakulty a nabývá práv a povinností studenta."
"Je možné provést zápis do studia v zastoupení?","Ano, zápis do studia lze provést také v zastoupení na základě úředně ověřené plné moci."
"Co se stane s uchazečem, který se ve stanoveném termínu nezapíše do studia?","Uchazeč, který se ve stanoveném termínu nezapíše do studia, se může ze závažných důvodů omluvit do pěti pracovních dnů od stanoveného termínu zápisu. O akceptaci omluvy rozhoduje děkan."
"Jaký je postup při opětovném zápisu do studia po přerušení?","Po uplynutí doby, na kterou bylo studium přerušeno, vzniká právo na opětovný zápis do studia. Osoba je povinna se do pěti pracovních dnů po uplynutí doby, na kterou bylo studium přerušeno, opětovně zapsat do studia. Ustanovení odstavců 4 a 5 lze užít obdobně."
"Kde se koná zápis do dalšího roku studia v akademickém roce?","Zápis do dalšího roku studia v akademickém roce se koná prostřednictvím elektronického informačního systému."
"Kdy se koná zápis do dalšího roku studia?","Zápis do dalšího roku studia se koná každoročně na počátku akademického roku v termínech stanovených harmonogramem akademického roku univerzity."
"Co musí student zkontrolovat před zápisem do dalšího roku studia?","Před zápisem do dalšího roku studia je student povinen zkontrolovat si své studijní výsledky za předcházející akademický rok."
"Kdy studentovi nebude umožněn zápis do dalšího roku studia?","Studentovi nebude umožněn zápis do dalšího roku studia, pokud nastal důvod pro ukončení studia podle ustanovení čl. 27 odst. 4."
"Jsou zápisy předmětů povinné pro studenty?","Zápisy předmětů jsou povinné pro studenty ve všech studijních programech."
"Z čeho se skládají zápisy předmětů?","Zápisy předmětů se skládají ze dvou kroků: a) registrace, b) volby rozvrhové akce."
"Jak si studenti sestavují svůj osobní studijní plán pro příslušný semestr?","Při registraci si studenti volbou předmětů sestavují svůj osobní studijní plán pro příslušný semestr studia, který vychází z podmínek daných pro standardní studijní plán."
"Jak si studenti vytvářejí svůj osobní rozvrh na daný semestr?","Při volbě rozvrhové akce si vytvářejí svůj osobní rozvrh na daný semestr."
"Co je student povinen zvolit, pokud u jednoho předmětu je více rozvrhových akcí?","Pokud u jednoho a téhož předmětu je více možností pro rozvrhové akce, je student povinen zvolit si jednu z konkrétních rozvrhových akcí, popřípadě jednu skupinu konkrétních rozvrhových akcí."
"Jaké rozvrhové akce si student musí zvolit přednostně?","Pokud jsou u rozvrhových akcí určeny rozvrhové akce pro určitý standardní studijní plán a rok studia, je student povinen přednostně si volit tyto určené rozvrhové akce."
"Čím se student řídí při zápisu předmětů?","Při zápisu předmětů se student řídí ustanovením čl. 13 odst. 11 a zároveň si zapisuje předměty tak, aby dodržel podmínku o době studia podle čl. 14 a získal počet kreditů odpovídající typu jeho studia podle čl. 13 odst. 7."
"Jak se koná zápis předmětů?","Zápis předmětů se koná prostřednictvím elektronického informačního systému."
"Jak často probíhají zápisy předmětů?","Zápisy předmětů probíhají na každý semestr."
"Kde jsou stanoveny termíny zápisu předmětů?","Termíny zápisu předmětů jsou stanoveny v harmonogramu akademického roku univerzity."
"Co se stane, pokud si student nezapíše předmět v souladu s odstavcem 4?","Pokud si student nezapíše předmět v souladu s odstavcem 4, bude mu předmět zrušen v termínu daném harmonogramem akademického roku univerzity."
"Jak se člení předměty uvedené ve standardním studijním plánu z hlediska tvorby osobního studijního plánu studenta?","Předměty uvedené ve standardním studijním plánu se člení na: a) Předměty bez jakýchkoliv povinných návazností na ostatní předměty nebo jiných omezení. b) Předměty podmíněné podmiňujícími předměty. c) Předměty podmíněné absolvováním podmiňujícího předmětu. d) Předměty vylučující. e) Předměty ekvivalentní. f) Předměty vyhrazené jen pro určitou specifickou skupinu studentů."
"Kolikrát lze na OU v průběhu studia získat kredity za daný předmět?","Za daný předmět lze na OU v průběhu studia získat kredity jen jednou."
"Co se stane, když student neprovede zápis předmětů ve stanoveném termínu a předepsaným způsobem?","V případě, že student neprovede ve stanoveném termínu a předepsaným způsobem zápis předmětů a do pěti pracovních dnů se písemně, s doložením závažného důvodu, neomluví a nepožádá o změnu termínu nebo nepožádá o přerušení studia, může děkan tuto skutečnost posoudit jako by student nesplnil požadavky podle čl. 27 odst. 5."
"Kolikrát si může student zapsat předmět, pokud nesplní podmínky pro získání kreditů?","Nesplní-li student podmínky pro získání kreditů za zapsaný předmět, může si tento předmět zapsat nejvýše ještě jednou."
"Jak může student zapsat předmět podruhé v témže akademickém roce?","Je-li předmět vyučován v zimním i letním semestru, může si jej student v případě neúspěchu zapsat v témže akademickém roce podruhé při platnosti podmínky uvedené v odstavci 1. Do váženého studijního průměru příslušného akademického roku se pak započítávají oba výsledky za zimní i letní semestr."
"Jak může student zapsat předmět podruhé se souhlasem garanta?","Student, který úspěšně nevykoná zkoušku nebo nezíská zápočet v předmětu, který není vyučován v po sobě následujících semestrech, může požádat o druhý zápis tohoto předmětu v semestru bezprostředně následujícím, a to pouze se souhlasem garanta předmětu."
"Co se stane se studentem, pokud překročí stanovený počet neúspěšně absolvovaných povinně volitelných a výběrových předmětů?","Student nesmí překročit v průběhu studia stanovený počet neúspěšně absolvovaných povinně volitelných a výběrových předmětů, a to v počtu dvojnásobku jeho standardní doby studia. Překročení uvedeného počtu může být důvodem pro ukončení studia pro neplnění požadavků vyplývajících ze studijního programu."
"Kdo stanoví maximální nebo minimální počet studentů pro zápis do předmětů?","Příslušná katedra stanoví před zápisem předmětů maximální, popřípadě minimální počet studentů, pro něž jsou jednotlivé předměty otevřeny."
"Ve kterých případech může fakulta studentovi zrušit předmět?","Ze strany fakulty může být studentovi předmět zrušen pouze v těchto případech: a) daný předmět nebude vyučován, zpravidla z důvodu nenaplnění kapacity; b) student nebyl ke studiu předmětu vybrán pro nadměrný počet zájemců; c) studentovi se nepodařilo získat kredity z některého podmiňujícího předmětu; d) předmět zvolený studentem je vyhrazen pro určitou specifickou skupinu studentů, do níž nenáleží; e) zapsání předmětu bylo v rozporu s tímto řádem."
"Kdy si může student zapsaný předmět zrušit?","Student si může zapsaný předmět zrušit v termínu stanoveném harmonogramem akademického roku fakulty, pokud děkan nestanoví jinak."
"Kolik kreditů musí student získat v zimním semestru prvního roku studia v bakalářských a magisterských programech?","Pro zimní semestr prvního roku studia v bakalářských a magisterských studijních programech si student zapisuje předměty tak, aby splnil podmínky pro ukončení prvního semestru studia, tj. získal nejméně 20 kreditů."
"Jaké povinnosti může stanovit děkan pro zimní semestr prvního roku studia v bakalářských a magisterských programech?","Děkan může stanovit pro zimní semestr prvního roku studia v bakalářských a magisterských studijních programech povinnost zapsat si určitou skupinu předmětů."
"Kolik kreditů musí student získat v letním semestru prvního roku studia v bakalářských a magisterských programech?","Pro letní semestr prvního roku studia v bakalářských a magisterských studijních programech si student zapisuje předměty tak, aby splnil podmínky pro ukončení prvního roku studia, tj. získal minimálně 40 kreditů."
"Jaké povinné předměty si student zapisuje v prvním roce studia u programu Všeobecné lékařství?","V prvním roce studia u studijního programu Všeobecné lékařství si student zapisuje."
"Kolik kreditů musí student získat za čtyři po sobě jdoucí semestry v bakalářských a magisterských studijních programech?","V dalším roce studia si student v bakalářských a magisterských studijních programech zapisuje předměty tak, aby za čtyři po sobě jdoucí semestry v posloupnosti lichý až sudý získal alespoň 80 kreditů, s výjimkou případu, kdy splnil podmínky pro přistoupení k státní zkoušce."
"Kolik kreditů musí student získat za čtyři po sobě jdoucí semestry v doktorských studijních programech?","V dalším roce studia si student v doktorských studijních programech zapisuje předměty tak, aby za čtyři po sobě jdoucí semestry v posloupnosti lichý až sudý získal alespoň 60 kreditů, s výjimkou případu, kdy splnil podmínky pro přistoupení k státní doktorské zkoušce."
"Jaké předměty může děkan uznat studentovi z předchozího nebo souběžného studia?","Studentovi může děkan po vyjádření garanta předmětu nebo garanta studijního programu uznat předměty (s výjimkou státní zkoušky) z předchozího, popřípadě souběžného studia na vysokých školách, popřípadě na vyšších odborných školách v České republice nebo v zahraničí, a to v případě, že neuplynulo více než pět let od ukončení studia."
"Co musí student předložit, pokud žádá o uznání předmětů?","Žádá-li student o uznání předmětů a jejich kreditního ohodnocení, je povinen předložit doklady, potvrzující absolvování předmětu a informující o jeho rozsahu, obsahu, výsledném hodnocení a datu splnění."
"Jaké předměty nelze uznat ve studiu v magisterském programu navazujícím na bakalářský program?","Ve studiu v magisterském studijním programu navazujícím na bakalářský studijní program nelze uznat jako předměty výběrové ty, které student absolvoval ve studiu v bakalářském studijním programu. Zpravidla se takto neuznávají ani předměty povinně volitelné a povinné."
"Do kdy musí student předložit žádost o uznání předmětů?","Děkan rozhoduje o uznání předmětů na základě písemné žádosti studenta, kterou student musí předložit nejpozději do jednoho měsíce od data zahájení výuky v zimním semestru."
"Čím se řídí způsob uznávání hodnocení předmětů?","Způsob uznávání hodnocení předmětů se řídí tabulkou uvedenou v čl. 90 odst. 2."
"Jak může student OU realizovat studium na zahraniční vysoké škole?","Student může v rámci svého studia ve studijním programu na OU realizovat studium na zahraniční vysoké škole, přičemž stále zůstává studentem OU."
"Co se považuje za studium na zahraniční vysoké škole podle odstavce 1?","Za studium podle odstavce 1 se považuje jen takové studium, na které byl student vyslán OU nebo její součástí."
"Co garantuje OU ohledně uznání kreditů ze zahraničního studia?","OU garantuje uznání kreditů ze souběžného zahraničního studia."
"Jak se stávají uznané předměty a kredity součástí dodatku k diplomu?","Uznané předměty a kredity podle odstavce 3 se stanou součástí dodatku k diplomu."
"Může student OU studovat na jiné vysoké škole v ČR?","Student může v rámci svého studia ve studijním programu na OU uskutečňovat studium i na jiné vysoké škole v České republice. Ustanovení odstavce 1 až 4 se užijí obdobně."
"Kde jsou určena pravidla pro poplatky spojené se studiem?","Pravidla pro stanovení výše, formu placení a splatnost poplatků spojených se studiem určuje Příloha č. 3 Statutu OU."
"Co je uznaná doba rodičovství?","Uznaná doba rodičovství je doba, po kterou trvá nebo by jinak trvala mateřská či rodičovská dovolená studentů podle zvláštního předpisu (§ 195 až 198 zákona č. 262/2006 Sb., zákoník práce, ve znění pozdějších předpisů)."
"Co je považováno za uznanou dobu rodičovství při převzetí dítěte do péče?","Za uznanou dobu rodičovství je považována situace v souvislosti s převzetím dítěte do péče nahrazující péči rodičů na základě rozhodnutí příslušného orgánu podle občanského zákoníku nebo právních předpisů upravujících státní sociální podporu."
